セットID,セット名,ブランド名,モデル年,参考価格,対象ユーザー層,セットの特徴・コンセプト,推奨度,クラブ種別,クラブ名,ロフト角,シャフト名・素材,フレックス,長さ,ライ角,クラブ重量,ヘッド素材,シャフト重量,グリップ名,単品価格,ブランドロゴ画像ファイル名,発売日,公式商品ページURL,商品画像URL,備考
,"LL
L
A
RR
R
SR
S
SS
X
XX
WEDGE
絞り込み無し",Titleist,,,,,,ドライバー,"LL
L
A
RR
R
SR
S
SS
X
XX
WEDGE
絞り込み無し",,,,,,,,,,,titleist.svg,,,,
,"チタン(合金含む)
ステンレス鋼
スーパーハイテン
アーメット鋼
マレージング鋼
スチール
タングステン
軟鉄
選択なし",Titleist,,,,,,ドライバー,"チタン(合金含む)
ステンレス鋼
スーパーハイテン
アーメット鋼
マレージング鋼
スチール
タングステン
軟鉄
選択なし",,,,,,,,,,,titleist.svg,,,,
,"鍛造
鋳造
選択なし",Titleist,,,,,,ドライバー,"鍛造
鋳造
選択なし",,,,,,,,,,,titleist.svg,,,,
,"日本
中国
台湾
韓国
フィリピン
タイ
アメリカ
マレーシア
ベトナム
ミャンマー
インドネシア
インド
カンボジア
オーストラリア
ニュージーランド
選択なし",Titleist,,,,,,ドライバー,"日本
中国
台湾
韓国
フィリピン
タイ
アメリカ
マレーシア
ベトナム
ミャンマー
インドネシア
インド
カンボジア
オーストラリア
ニュージーランド
選択なし",,,,,,,,,,,titleist.svg,,,,
,"2010年角溝ルール適合
2010年角溝ルール不適合
選択なし",Titleist,,,,,,ドライバー,"2010年角溝ルール適合
2010年角溝ルール不適合
選択なし",,,,,,,,,,,titleist.svg,,,,
,"ロフト角
ライ角
フェース角
フェースプログレッション
オフセット
ヘッド重量
ヘッド体積
バウンス角
クラブの長さ
クラブ重量
シャフト重量
トルク
キックポイント
推奨ヘッドスピード
バランス
振動数",Titleist,,,,,,ドライバー,"ロフト角
ライ角
フェース角
フェースプログレッション
オフセット
ヘッド重量
ヘッド体積
バウンス角
クラブの長さ
クラブ重量
シャフト重量
トルク
キックポイント
推奨ヘッドスピード
バランス
振動数",,,,,,,,,,,titleist.svg,,,,
,"男性用
女性用",Titleist,,,,,,ドライバー,"男性用
女性用",,,,,,,,,,,titleist.svg,,,,
,"全てのメーカー
jBEAM
S-YARD
T.P.Mills
TMJ
YES!Golf
つるやゴルフ
アキラプロダクツ
イオンスポーツ
ウィンバード
ウイットラム
ウイルソン
エポン
オデッセイ
カタナ
カムイ
キャスコ
キャロウェイ
クリーブランド
グローブライド（旧ダイワ）
コブラ
サソーグラインド
ジオテック
スコッティ・キャメロン
ダンロップ
テーラーメイド
ナイキ
ネバーコンプロマイズ
パワービルト
ピン
フォレスタ
フォーティーン
ブリヂストン
プロギア
ベティナルディ
マグレガー
マルマン
ミズノ
ヤマハ
ヨネックス
リョーマゴルフ
ロイヤルコレクション
ロマロ
ワークス
三浦技研
本間ゴルフ",Titleist,,,,,,ドライバー,"全てのメーカー
jBEAM
S-YARD
T.P.Mills
TMJ
YES!Golf
つるやゴルフ
アキラプロダクツ
イオンスポーツ
ウィンバード
ウイットラム
ウイルソン
エポン
オデッセイ
カタナ
カムイ
キャスコ
キャロウェイ
クリーブランド
グローブライド（旧ダイワ）
コブラ
サソーグラインド
ジオテック
スコッティ・キャメロン
ダンロップ
テーラーメイド
ナイキ
ネバーコンプロマイズ
パワービルト
ピン
フォレスタ
フォーティーン
ブリヂストン
プロギア
ベティナルディ
マグレガー
マルマン
ミズノ
ヤマハ
ヨネックス
リョーマゴルフ
ロイヤルコレクション
ロマロ
ワークス
三浦技研
本間ゴルフ",,,,,,,,,,,titleist.svg,,,,
,"2025年
2024年
2023年
2022年
2021年
2020年
2019年
2018年
2017年
2016年
2015年
2014年
2013年
2012年
2011年
2010年
2009年
2008年
2007年
2006年
2005年
2004年
2003年
2002年
2001年
2000年
不明
絞り込み無し",Titleist,,,,,,ドライバー,"2025年
2024年
2023年
2022年
2021年
2020年
2019年
2018年
2017年
2016年
2015年
2014年
2013年
2012年
2011年
2010年
2009年
2008年
2007年
2006年
2005年
2004年
2003年
2002年
2001年
2000年
不明
絞り込み無し",,,,,,,,,,,titleist.svg,,,,
,"～1.99
2.0～2.99
3.0～3.99
4.0～4.99
5.0～5.99
6.0～6.99
7.0～7.99
  8.0～
選択なし",Titleist,,,,,,ドライバー,"～1.99
2.0～2.99
3.0～3.99
4.0～4.99
5.0～5.99
6.0～6.99
7.0～7.99
  8.0～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～69.99
70.0～70.99
71.0～71.99
72.0～72.99
73.0～73.99
74.0～74.99
75.0～75.99
76.0～76.99
77.0～77.99
78.0～78.99
79.0～79.99
  80.0～
選択なし",Titleist,,,,,,ドライバー,"～69.99
70.0～70.99
71.0～71.99
72.0～72.99
73.0～73.99
74.0～74.99
75.0～75.99
76.0～76.99
77.0～77.99
78.0～78.99
79.0～79.99
  80.0～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～-5.0
-4.99～-0.01
0.0～4.99
5.0～9.99
  10.0～
選択なし",Titleist,,,,,,ドライバー,"～-5.0
-4.99～-0.01
0.0～4.99
5.0～9.99
  10.0～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～329
330～339
340～349
350～359
360～369
370～379
380～389
390～399
400～449
450～499
  500～
選択なし",Titleist,,,,,,ドライバー,"～329
330～339
340～349
350～359
360～369
370～379
380～389
390～399
400～449
450～499
  500～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～31.99
32.0～32.99
33.0～33.99
34.0～34.99
35.0～35.99
36.0～36.99
37.0～37.99
38.0～38.99
39.0～39.99
40.0～40.99
41.0～41.99
42.0～42.99
43.0～43.99
44.0～44.99
45.0～45.99
46.0～46.99
  47.0～
選択なし",Titleist,,,,,,ドライバー,"～31.99
32.0～32.99
33.0～33.99
34.0～34.99
35.0～35.99
36.0～36.99
37.0～37.99
38.0～38.99
39.0～39.99
40.0～40.99
41.0～41.99
42.0～42.99
43.0～43.99
44.0～44.99
45.0～45.99
46.0～46.99
  47.0～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～499
500～509
510～519
520～529
530～539
540～549
550～559
560～569
570～579
580～589
590～599
  600～
選択なし",Titleist,,,,,,ドライバー,"～499
500～509
510～519
520～529
530～539
540～549
550～559
560～569
570～579
580～589
590～599
  600～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"～B9
C0～C4
C5～C9
D0～D4
D5～D9
E0～E4
E5～E9
F0～
選択なし",Titleist,,,,,,ドライバー,"～B9
C0～C4
C5～C9
D0～D4
D5～D9
E0～E4
E5～E9
F0～
選択なし",,,,,,,,,,,titleist.svg,,,,
,"トゥ・ヒール型
マレット型
ネオマレット型
T字型(キャッシュイン型)
トンカチ型
ブレード型
選択なし",Titleist,,,,,,ドライバー,"トゥ・ヒール型
マレット型
ネオマレット型
T字型(キャッシュイン型)
トンカチ型
ブレード型
選択なし",,,,,,,,,,,titleist.svg,,,,
,"ノーマルシャフト
センターシャフト
L字型
ヘッド後方シャフト
トゥ側シャフト
選択なし",Titleist,,,,,,ドライバー,"ノーマルシャフト
センターシャフト
L字型
ヘッド後方シャフト
トゥ側シャフト
選択なし",,,,,,,,,,,titleist.svg,,,,
,"ベントシャフト
シングルベント
ダブルベント
トリプルベント
ストレート
カーブネック
クランクネック
スラントネック
選択なし",Titleist,,,,,,ドライバー,"ベントシャフト
シングルベント
ダブルベント
トリプルベント
ストレート
カーブネック
クランクネック
スラントネック
選択なし",,,,,,,,,,,titleist.svg,,,,
,"チタン(合金含む)
ステンレス鋼
スーパーハイテン
アーメット鋼
マレージング鋼
スチール
タングステン
軟鉄
選択なし",Titleist,,,,,,ドライバー,"チタン(合金含む)
ステンレス鋼
スーパーハイテン
アーメット鋼
マレージング鋼
スチール
タングステン
軟鉄
選択なし",,,,,,,,,,,titleist.svg,,,,
,"日本
中国
台湾
韓国
フィリピン
タイ
アメリカ
マレーシア
ベトナム
ミャンマー
インドネシア
インド
カンボジア
オーストラリア
ニュージーランド
選択なし",Titleist,,,,,,ドライバー,"日本
中国
台湾
韓国
フィリピン
タイ
アメリカ
マレーシア
ベトナム
ミャンマー
インドネシア
インド
カンボジア
オーストラリア
ニュージーランド
選択なし",,,,,,,,,,,titleist.svg,,,,
,"ロフト角
ライ角
フェース角
フェースプログレッション
オフセット
ヘッド重量
ヘッド体積
バウンス角
クラブの長さ
クラブ重量
シャフト重量
トルク
キックポイント
推奨ヘッドスピード
バランス
振動数",Titleist,,,,,,ドライバー,"ロフト角
ライ角
フェース角
フェースプログレッション
オフセット
ヘッド重量
ヘッド体積
バウンス角
クラブの長さ
クラブ重量
シャフト重量
トルク
キックポイント
推奨ヘッドスピード
バランス
振動数",,,,,,,,,,,titleist.svg,,,,
,,Titleist,,,,,,ドライバー,,ゴルフクラブの評価・レビュー のメニュー,,ゴルフクラブの評価・レビュー のメニュー,,,,,,,,titleist.svg,,,,
,▼クラブ種類別で探す,Titleist,,,,,,ドライバー,▼クラブ種類別で探す,"▼その他

ゴルフクラブを評価・レビューする
評価・レビューの修正／削除の依頼
感想・問い合わせフォーム


当サイトは一部のページでアフィリエイトを使用しております。



当サイトについて

リンクフリーです。どのページを貼って頂いても構いません。
正確な情報を掲載するよう心がけておりますが、当サイト内の情報の正確性ついての保証は致しかねます。

詳しくはこちら »

当サイトは広告（アフィリエイトやGoogle AdSense等）を活用して運営しています。
当サイトは第三者配信（Google Adsense）による広告サービスにてクッキーを使用しております。詳しくはプライバシーポリシーをご覧下さい。
当サイトの運営者情報はこちら","▼メーカー別で探す


メーカー一覧
GTDゴルフ
Jazz Golf
jBEAM
RODDIO
S-YARD
SYB（サイブ／コンセプト）
T.P.Mills
TMJ
YES!Golf
アキラプロダクツ
イオンスポーツ
ウイットラム
ウイルソン
ウィンバード
エナ
エポン
オデッセイ
カタナ
カムイ
キャスコ
キャロウェイ
グランプリ
クリーブランド
クルーズ
クレイジー
グローブライド（旧ダイワ）
ゲージデザイン
コブラ
サソーグラインド
ジオテック
ジャスティック
スコッティ・キャメロン
タイトリスト
ダンロップ
つるやゴルフ
テーラーメイド
ナイキ
ネバーコンプロマイズ
パワービルト
ピン
フォーティーン
フォレスタ
ブリヂストン
プロギア
ベティナルディ
マグレガー
マルマン
ミズノ
ヤマハ
ヨネックス
リョーマゴルフ
ロイヤルコレクション
ロマロ
ワークス
三浦技研
本間ゴルフ



★PICK UP


テーラーメイドの評価・レビュー


キャロウェイの評価・レビュー


ミズノの評価・レビュー


ブリヂストンの評価・レビュー


ダンロップの評価・レビュー


マルマンの評価・レビュー


フォーティーンの評価・レビュー


タイトリストの評価・レビュー


ピンの評価・レビュー","▼その他

ゴルフクラブを評価・レビューする
評価・レビューの修正／削除の依頼
感想・問い合わせフォーム


当サイトは一部のページでアフィリエイトを使用しております。



当サイトについて

リンクフリーです。どのページを貼って頂いても構いません。
正確な情報を掲載するよう心がけておりますが、当サイト内の情報の正確性ついての保証は致しかねます。

詳しくはこちら »

当サイトは広告（アフィリエイトやGoogle AdSense等）を活用して運営しています。
当サイトは第三者配信（Google Adsense）による広告サービスにてクッキーを使用しております。詳しくはプライバシーポリシーをご覧下さい。
当サイトの運営者情報はこちら",,,,,,,,titleist.svg,,https://golfnavi.infohttps://golfnavi.info/club-cate/cate-driver,,
